Dependent_Var,Variable,Std_Beta,Std_Error_Robust,t_value_Robust,p_value_Robust,Significance
Machiavellianism,hexaco_HH,-0.29334647010078074,0.06471094718637248,-4.533181522686115,5.810184257429948e-06,***
Machiavellianism,hexaco_X,-0.17355798582763624,0.06480868117268801,-2.6780052099066305,0.00740620663267045,**
Machiavellianism,hexaco_A,-0.14264037978804406,0.05453048675172574,-2.615791427600449,0.008902091738005139,**
Machiavellianism,hexaco_C,0.1122595168600641,0.056641067740521044,1.9819456330579306,0.04748532583155364,*
Machiavellianism,age,-0.11379311835200863,0.054942976098547605,-2.071113114584572,0.03834822655766097,*
Narcissism,hexaco_HH,-0.29677007870711797,0.05420496194562368,-5.474961480552762,4.376067901805242e-08,***
Narcissism,hexaco_E,-0.13002417006928288,0.049326236135371966,-2.6360042901396694,0.008388867090386807,**
Narcissism,hexaco_X,0.41913260465811664,0.05338103696683361,7.851713426221555,4.103913863043866e-15,***
Narcissism,hexaco_C,0.09722496751123813,0.04784553554209294,2.032059342834668,0.042147648692628936,*
Narcissism,hexaco_O,0.11366605338848576,0.0466466990695361,2.4367437708516975,0.014820176562753997,*
Psychopathy,hexaco_HH,-0.22391282427730794,0.05281577599649673,-4.2395064742049815,2.2401173343372e-05,***
Psychopathy,hexaco_E,-0.1300881750363533,0.05930772483262323,-2.1934440311693777,0.02827540288633954,*
Psychopathy,hexaco_X,0.1376468978594752,0.055391108253447854,2.484999888965162,0.012955147504525994,*
Psychopathy,hexaco_A,-0.3787720622786281,0.05247358448493517,-7.218337874123524,5.262682910264495e-13,***
power_harassment,hexaco_HH,-0.16944220859519765,0.06006096275912409,-2.8211703710902807,0.004784878349685916,**
power_harassment,hexaco_A,-0.2117153220867536,0.0557878330480491,-3.7950088849016024,0.00014763816902380102,***
gender_harassment,hexaco_HH,-0.26991167971558927,0.059464525912456,-4.539036939652974,5.651173651671711e-06,***
gender_harassment,hexaco_O,-0.2130206228867362,0.058153218982039956,-3.6630925444131566,0.0002491884587207489,***
gender_harassment,gender,-0.16696780247828807,0.0573230550120325,-2.9127512907893762,0.003582598156878287,**
