,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment
hexaco_HH,0.0,0.4938459211674903,0.000227777227813237,5.356365559779533e-06,0.003472620095292887,0.6180848188432821,5.098882483191849e-10,5.286860659371894e-12,2.453432177420111e-13,1.6553608773812657e-05,0.0005059759854932675
hexaco_E,0.4938459211674903,0.0,1.0460274800343642e-10,1.0871495106925205e-08,0.050690915223892435,1.1291485060854045e-06,0.5016453012381981,5.468306725316315e-10,0.08603790517165674,0.7234135772626892,0.7958726463751498
hexaco_X,0.00022777722781323697,1.0460274800343642e-10,0.0,1.8983949045199352e-05,0.12998013377763357,6.436490633329352e-06,0.0831064500684691,1.2756199780408177e-30,0.0029983990443095757,0.38732542280405313,0.04640699879521134
hexaco_A,5.356365559779533e-06,1.0871495106925205e-08,1.8983949045199352e-05,0.0,0.5271271504912582,0.33421901504255014,3.106419253318074e-07,0.7258680054502016,4.689601775981319e-12,5.052623322087533e-07,0.8062932922114543
hexaco_C,0.003472620095292887,0.05069091522389249,0.12998013377763357,0.5271271504912582,0.0,0.0008216637185351588,0.21994703547660835,0.01486322043068199,0.10913069805319288,0.042501688546080024,0.26652325662861975
hexaco_O,0.6180848188432824,1.1291485060854045e-06,6.436490633329352e-06,0.33421901504255014,0.0008216637185351588,0.0,0.007485212560860462,2.7870458333795045e-07,0.12868721755724602,0.283955758575295,0.00021645555967468962
Machiavellianism,5.098882483191849e-10,0.5016453012381981,0.0831064500684691,3.106419253318074e-07,0.21994703547660835,0.007485212560860462,0.0,0.009884914491151241,2.0545536377776547e-08,0.026133524525386614,0.05595359877784511
Narcissism,5.286860659371894e-12,5.468306725316315e-10,1.2756199780408177e-30,0.7258680054502016,0.01486322043068199,2.7870458333795045e-07,0.009884914491151241,0.0,3.430439052130627e-14,0.02687607636532005,8.394221474361268e-05
Psychopathy,2.453432177420111e-13,0.08603790517165674,0.0029983990443095757,4.689601775981319e-12,0.10913069805319288,0.12868721755724602,2.0545536377776547e-08,3.430439052130627e-14,1.0,6.212173317584204e-11,0.004491632533693843
power_harassment,1.6553608773812748e-05,0.7234135772626892,0.38732542280405313,5.052623322087498e-07,0.042501688546080024,0.28395575857529504,0.026133524525386614,0.02687607636532005,6.212173317584204e-11,0.0,1.4212042723523315e-11
gender_harassment,0.0005059759854932675,0.7958726463751498,0.04640699879521134,0.8062932922114543,0.26652325662861975,0.00021645555967468962,0.05595359877784511,8.394221474361268e-05,0.004491632533693843,1.4212042723523315e-11,0.0
