,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment
hexaco_HH,0.9999999999999999,0.03648199196880217,-0.19472066226458537,0.23917381359432802,0.15493674323125672,-0.02658786136809812,-0.32307775418427304,-0.356272696998413,-0.37657805270630906,-0.22672481547806872,-0.18390250413378828
hexaco_E,0.03648199196880217,1.0,-0.3345901360696737,-0.2979560642156868,-0.10394470199340612,-0.2553170944806883,0.03587753820295552,-0.32253733717944333,-0.09150236396478394,-0.01887467110257275,-0.013797486378477337
hexaco_X,-0.19472066226458534,-0.3345901360696737,1.0,0.2251653077398256,0.08063186575603816,0.23719297359082206,-0.09236540054917775,0.5607321563397573,0.15753673125651857,-0.04608505954773249,0.10593284515312383
hexaco_A,0.23917381359432802,-0.2979560642156868,0.2251653077398256,1.0,0.033721254907703786,0.05147177242922205,-0.2682863740005159,0.01872679045230142,-0.357093016070188,-0.26324520469509927,0.01307850055053481
hexaco_C,0.15493674323125672,-0.10394470199340611,0.08063186575603816,0.033721254907703786,1.0,0.17702538224779,0.06545112121740054,0.12955168351061097,-0.08541890852626853,-0.10788419647241831,-0.05921214729607955
hexaco_O,-0.026587861368098115,-0.2553170944806883,0.23719297359082206,0.05147177242922205,0.17702538224779,1.0,0.14212736123630568,0.2693179440964302,0.08101851044330162,0.05710375714955678,-0.19539216152843983
Machiavellianism,-0.32307775418427304,0.03587753820295552,-0.09236540054917775,-0.2682863740005159,0.06545112121740054,0.14212736123630568,0.9999999999999998,0.13714748971256618,0.2929164326312909,0.11838667765185353,-0.10182997500092834
Narcissism,-0.356272696998413,-0.32253733717944333,0.5607321563397573,0.01872679045230142,0.12955168351061097,0.2693179440964302,0.13714748971256618,1.0,0.3888802768628915,0.1178101015187623,0.20777300973765397
Psychopathy,-0.37657805270630906,-0.09150236396478394,0.15753673125651857,-0.357093016070188,-0.08541890852626853,0.08101851044330162,0.2929164326312909,0.3888802768628915,1.0000000000000002,0.3388636105790861,0.1509006166854093
power_harassment,-0.2267248154780687,-0.01887467110257275,-0.04608505954773248,-0.2632452046950993,-0.10788419647241831,0.05710375714955679,0.11838667765185353,0.1178101015187623,0.3388636105790861,1.0,0.34894830844744473
gender_harassment,-0.18390250413378825,-0.013797486378477336,0.10593284515312383,0.01307850055053481,-0.05921214729607955,-0.19539216152843983,-0.10182997500092834,0.20777300973765397,0.1509006166854093,0.34894830844744473,1.0
