Dependent_Var,Variable,VIF
Machiavellianism,const,
Machiavellianism,hexaco_HH,1.3191822606763928
Machiavellianism,hexaco_E,1.30150123949902
Machiavellianism,hexaco_X,1.3132374237362254
Machiavellianism,hexaco_A,1.3283667207358365
Machiavellianism,hexaco_C,1.1378644286174948
Machiavellianism,hexaco_O,1.339385649313413
Machiavellianism,age,1.2488653986561757
Machiavellianism,gender,1.1304441580566729
Machiavellianism,area_Hokkaido,2.5605093297006993
Machiavellianism,area_Hokuriku,2.2449452804269345
Machiavellianism,area_Kanto,11.709784069518005
Machiavellianism,area_Kinki,7.387736572136613
Machiavellianism,area_Kyushu,3.334267560962327
Machiavellianism,area_Okinawa,1.1287494608311768
Machiavellianism,area_Shikoku,1.3796377947899172
Machiavellianism,area_Shinetsu,2.2153444643214746
Machiavellianism,area_Tohoku,3.0151032458298728
Machiavellianism,area_Tokai,4.89923089461288
Narcissism,const,
Narcissism,hexaco_HH,1.3191822606763928
Narcissism,hexaco_E,1.30150123949902
Narcissism,hexaco_X,1.3132374237362254
Narcissism,hexaco_A,1.3283667207358365
Narcissism,hexaco_C,1.1378644286174948
Narcissism,hexaco_O,1.339385649313413
Narcissism,age,1.2488653986561757
Narcissism,gender,1.1304441580566729
Narcissism,area_Hokkaido,2.5605093297006993
Narcissism,area_Hokuriku,2.2449452804269345
Narcissism,area_Kanto,11.709784069518005
Narcissism,area_Kinki,7.387736572136613
Narcissism,area_Kyushu,3.334267560962327
Narcissism,area_Okinawa,1.1287494608311768
Narcissism,area_Shikoku,1.3796377947899172
Narcissism,area_Shinetsu,2.2153444643214746
Narcissism,area_Tohoku,3.0151032458298728
Narcissism,area_Tokai,4.89923089461288
Psychopathy,const,
Psychopathy,hexaco_HH,1.3191822606763928
Psychopathy,hexaco_E,1.30150123949902
Psychopathy,hexaco_X,1.3132374237362254
Psychopathy,hexaco_A,1.3283667207358365
Psychopathy,hexaco_C,1.1378644286174948
Psychopathy,hexaco_O,1.339385649313413
Psychopathy,age,1.2488653986561757
Psychopathy,gender,1.1304441580566729
Psychopathy,area_Hokkaido,2.5605093297006993
Psychopathy,area_Hokuriku,2.2449452804269345
Psychopathy,area_Kanto,11.709784069518005
Psychopathy,area_Kinki,7.387736572136613
Psychopathy,area_Kyushu,3.334267560962327
Psychopathy,area_Okinawa,1.1287494608311768
Psychopathy,area_Shikoku,1.3796377947899172
Psychopathy,area_Shinetsu,2.2153444643214746
Psychopathy,area_Tohoku,3.0151032458298728
Psychopathy,area_Tokai,4.89923089461288
power_harassment,const,
power_harassment,hexaco_HH,1.3321420645785496
power_harassment,hexaco_E,1.3039328061114148
power_harassment,hexaco_X,1.3277429445314841
power_harassment,hexaco_A,1.3280333375526927
power_harassment,hexaco_C,1.1377749451683357
power_harassment,hexaco_O,1.344378667592997
power_harassment,age,1.2554001872618574
power_harassment,gender,1.1289504325536133
power_harassment,area_Hokkaido,2.5607768819545025
power_harassment,area_Hokuriku,2.2448579936160558
power_harassment,area_Kanto,11.742328659895861
power_harassment,area_Kinki,7.392248430927851
power_harassment,area_Kyushu,3.3347739823377656
power_harassment,area_Okinawa,1.1287559731975234
power_harassment,area_Shikoku,1.3796554428431818
power_harassment,area_Shinetsu,2.21541684760461
power_harassment,area_Tohoku,3.0155110675339247
power_harassment,area_Tokai,4.900378879047315
gender_harassment,const,
gender_harassment,hexaco_HH,1.3321420645785496
gender_harassment,hexaco_E,1.3039328061114148
gender_harassment,hexaco_X,1.3277429445314841
gender_harassment,hexaco_A,1.3280333375526927
gender_harassment,hexaco_C,1.1377749451683357
gender_harassment,hexaco_O,1.344378667592997
gender_harassment,age,1.2554001872618574
gender_harassment,gender,1.1289504325536133
gender_harassment,area_Hokkaido,2.5607768819545025
gender_harassment,area_Hokuriku,2.2448579936160558
gender_harassment,area_Kanto,11.742328659895861
gender_harassment,area_Kinki,7.392248430927851
gender_harassment,area_Kyushu,3.3347739823377656
gender_harassment,area_Okinawa,1.1287559731975234
gender_harassment,area_Shikoku,1.3796554428431818
gender_harassment,area_Shinetsu,2.21541684760461
gender_harassment,area_Tohoku,3.0155110675339247
gender_harassment,area_Tokai,4.900378879047315
