,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment
hexaco_HH,1.00,0.04,-0.19***,0.24***,0.15**,-0.03,-0.32***,-0.36***,-0.38***,-0.23***,-0.18***
hexaco_E,,1.00,-0.33***,-0.30***,-0.10,-0.26***,0.04,-0.32***,-0.09,-0.02,-0.01
hexaco_X,,,1.00,0.23***,0.08,0.24***,-0.09,0.56***,0.16**,-0.05,0.11*
hexaco_A,,,,1.00,0.03,0.05,-0.27***,0.02,-0.36***,-0.26***,0.01
hexaco_C,,,,,1.00,0.18***,0.07,0.13*,-0.09,-0.11*,-0.06
hexaco_O,,,,,,1.00,0.14**,0.27***,0.08,0.06,-0.20***
Machiavellianism,,,,,,,1.00,0.14**,0.29***,0.12*,-0.10
Narcissism,,,,,,,,1.00,0.39***,0.12*,0.21***
Psychopathy,,,,,,,,,1.00,0.34***,0.15**
power_harassment,,,,,,,,,,1.00,0.35***
gender_harassment,,,,,,,,,,,1.00
