moderator,trait,level,k,N_total,r_pooled,r_ci_lo,r_ci_hi,I2,tau2,Q_between,df_between,p_between
region,O,non-Asia,7,2062,0.0527,-0.0597,0.1637,65.9,0.0052,0.2576499378920836,1,0.6117392952735151
region,O,Asia,2,1301,0.1644,-0.9892,0.9944,96.0,0.0449,0.2576499378920836,1,0.6117392952735151
region,C,non-Asia,8,2083,0.1850,0.0816,0.2844,70.1,0.0080,2.6796917217679326,1,0.1016354015956833
region,C,Asia,2,1301,0.1112,-0.0394,0.2569,0.0,0.0000,2.6796917217679326,1,0.1016354015956833
region,E,non-Asia,7,2062,0.0504,-0.0035,0.1040,0.0,0.0000,46.42716650127474,1,9.50883816130954e-12
region,E,Asia,2,1301,-0.1313,-0.3143,0.0611,0.0,0.0000,46.42716650127474,1,9.50883816130954e-12
region,A,non-Asia,7,2062,0.0301,-0.0466,0.1064,47.0,0.0022,2.1749087800300675,1,0.14027783347519995
region,A,Asia,2,1301,0.3298,-0.9809,0.9951,95.6,0.0410,2.1749087800300675,1,0.14027783347519995
region,N,non-Asia,8,2083,-0.0068,-0.1302,0.1169,81.4,0.0126,3.312722734587871,1,0.06874550407477265
region,N,Asia,2,1301,0.0893,0.0084,0.1690,0.0,0.0000,3.312722734587871,1,0.06874550407477265
era,O,pre-COVID,3,806,0.0982,-0.4227,0.5703,84.2,0.0242,6.445594773428977e-05,1,0.9935942955765479
era,O,COVID,5,2275,0.0970,-0.1226,0.3075,94.1,0.0231,6.445594773428977e-05,1,0.9935942955765479
era,O,mixed,1,,,,,,,,,
era,C,pre-COVID,4,827,0.2085,-0.0412,0.4336,71.7,0.0110,0.13261035757070166,1,0.7157407368311884
era,C,COVID,5,2275,0.1786,0.0949,0.2598,53.7,0.0019,0.13261035757070166,1,0.7157407368311884
era,C,mixed,1,,,,,,,,,
era,E,pre-COVID,3,806,0.0329,0.0024,0.0634,0.0,0.0000,0.5873244354979231,1,0.44345561191567207
era,E,COVID,5,2275,-0.0139,-0.1803,0.1533,86.3,0.0114,0.5873244354979231,1,0.44345561191567207
era,E,mixed,1,,,,,,,,,
era,A,pre-COVID,3,806,0.0327,-0.1622,0.2251,38.8,0.0001,1.0907497511302233,1,0.29630514796531404
era,A,COVID,5,2275,0.1527,-0.1414,0.4220,97.4,0.0444,1.0907497511302233,1,0.29630514796531404
era,A,mixed,1,,,,,,,,,
era,N,pre-COVID,4,827,-0.0503,-0.1729,0.0738,19.6,0.0000,2.038901470757169,1,0.15332033509957665
era,N,COVID,5,2275,0.0599,-0.1245,0.2404,86.0,0.0147,2.038901470757169,1,0.15332033509957665
era,N,mixed,1,,,,,,,,,
outcome_type,O,achievement-like,7,2649,0.0920,-0.0862,0.2645,93.4,0.0274,NA,0,NA
outcome_type,O,engagement-like,1,,,,,,,,,
outcome_type,C,achievement-like,8,2670,0.1469,0.0482,0.2428,62.3,0.0056,NA,0,NA
outcome_type,C,engagement-like,1,,,,,,,,,
outcome_type,E,achievement-like,7,2649,-0.0384,-0.1153,0.0390,60.8,0.0031,NA,0,NA
outcome_type,E,engagement-like,1,,,,,,,,,
outcome_type,A,achievement-like,7,2649,0.1312,-0.0543,0.3080,96.5,0.0336,NA,0,NA
outcome_type,A,engagement-like,1,,,,,,,,,
outcome_type,N,achievement-like,8,2670,-0.0086,-0.0967,0.0797,66.6,0.0044,NA,0,NA
outcome_type,N,engagement-like,1,,,,,,,,,
