term,estimate,se,t,p
(Intercept),0.2383,0.0787,3.026,0.0049
trait[C],-0.0339,0.1093,-0.310,0.7585
trait[E],-0.3418,0.1114,-3.069,0.0043
trait[A],0.0835,0.1114,0.750,0.4588
trait[N],-0.2049,0.1093,-1.875,0.0700
modality[M],-0.2261,0.0978,-2.312,0.0274
trait[C]:modality[M],0.2033,0.1367,1.488,0.1466
trait[E]:modality[M],0.3846,0.1383,2.781,0.0090
trait[A]:modality[M],-0.0611,0.1383,-0.442,0.6616
trait[N]:modality[M],0.2218,0.1367,1.623,0.1145

#,k_obs,42,,
#,tau2_used,0.0105,,
#,ref_trait,O,,
#,ref_modality,A,,
#,wald_chi2_interaction,13.6416,4,0.0085
