trait,modality,k,N_total,r_pooled,r_ci_lo,r_ci_hi,I2,tau2,note
O,A,3,1393,0.2232,-0.3739,0.6895,92.0,0.0359,
O,M,3,772,-0.0225,-0.1420,0.0977,0.0,0.0000,
O,S,1,525,0.0700,,,,,k=1 (narrative only)
O,U,2,673,0.0767,-0.6297,0.7136,63.0,0.0010,
C,A,3,1393,0.1675,-0.1513,0.4547,69.5,0.0043,
C,M,3,772,0.1554,-0.1939,0.4697,81.7,0.0099,
C,S,1,525,0.0680,,,,,k=1 (narrative only)
C,U,3,694,0.2164,0.1034,0.3238,0.0,0.0000,
E,A,3,1393,-0.1211,-0.2455,0.0073,19.6,0.0000,
E,M,3,772,0.0671,-0.1200,0.2496,31.7,0.0003,
E,S,1,525,0.0270,,,,,k=1 (narrative only)
E,U,2,673,0.0496,-0.6242,0.6811,59.7,0.0006,
A,A,3,1393,0.2828,-0.2930,0.7081,93.7,0.0350,
A,M,3,772,0.0817,-0.1170,0.2741,39.9,0.0008,
A,S,1,525,-0.0130,,,,,k=1 (narrative only)
A,U,2,673,-0.0369,-0.3871,0.3226,0.0,0.0000,
N,A,3,1393,0.0823,-0.0014,0.1648,0.0,0.0000,
N,M,3,772,-0.0005,-0.0594,0.0584,0.0,0.0000,
N,S,1,525,-0.0720,,,,,k=1 (narrative only)
N,U,3,694,-0.0337,-0.6712,0.6325,93.2,0.0504,
