study_id,mod_A,mod_M,mod_S,mod_U,era_pre-COVID,era_COVID,era_post-COVID,era_mixed,region_Asia,region_Europe,region_North_America,region_Other,log_N,y_label,sens_region_nonAsia,sens_era_COVID_or_after
A-01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5217885770490405,1,1,0
A-02,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.241747015059643,1,1,0
A-15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.044522437723423,1,1,0
A-22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.707110264748875,1,1,1
A-23,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.560681631015528,1,1,1
A-28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.049254841255837,1,0,1
A-29,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.263398262591624,0,1,0
A-30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.023447592961033,1,1,1
A-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.003946305945459,1,0,1
A-37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.641907070938114,0,1,0
