study_id,author_year,N,modality,country,region,education_level,discipline,era,inclusion_status,primary_achievement,r_O,r_C,r_E,r_A,r_N,effect_source
A-01,Abe 2020,92,A,US,North_America,Undergraduate,Psychology,pre-COVID,include,yes,0.3500,0.3700,0.0300,0.1600,-0.0200,r
A-02,Alkis 2018,189,M,Turkey,Europe,Undergraduate,STEM,pre-COVID,include,yes,-0.0920,0.2050,0.0510,0.0940,0.0300,r
A-03,Ashouri 2025,183,U,Iran,Asia,Undergraduate,STEM,COVID,exclude_from_primary,no,,,,,,
A-04,Audet 2021,350,S,Canada,North_America,Undergraduate,Mixed,COVID,exclude_from_primary,no,,,,,,
A-05,Audet 2023,678,M,Canada,North_America,Undergraduate,Mixed,COVID,exclude_overlap,no,,,,,,
A-06,Sahinidis 2021,555,S,Greece,Europe,Undergraduate,Mixed,COVID,exclude_from_primary,no,,,,,,
A-07,Cohen 2017,72,A,Israel,Asia,Graduate,Mixed,pre-COVID,exclude_from_primary,no,0.3760,0.3900,0.0250,0.0990,0.0410,r
A-08,Keller 2013,250,A,US,North_America,Mixed_UG_Grad,Mixed,pre-COVID,exclude_from_primary,no,,,,,,
A-09,Bhattacharjee 2025,384,U,India,Asia,Undergraduate,Mixed,post-COVID,exclude,no,,,,,,
A-10,Boonyapison 2025,203,U,Thailand,Asia,K-12,Mixed,post-COVID,exclude,no,,,,,,
A-11,Cheng 2023,746,A,Taiwan,Asia,Mixed_secondary_postsecondary,Mixed,COVID,exclude_from_primary,no,,-0.3900,,,,r
A-12,Baruth 2023,108,U,Israel,Asia,Undergraduate,Mixed,COVID,exclude_from_primary,no,0.2940,0.3350,0.3240,0.4580,-0.5420,r
A-13,Dang 2025,235,U,China,Asia,Undergraduate,Mixed,post-COVID,exclude_from_primary,no,0.3010,0.4380,0.3090,0.2470,-0.0370,r
A-15,Elvers 2003,21,A,US,North_America,Undergraduate,Psychology,pre-COVID,include_with_caveat,partial,,0.4100,,,-0.3800,r
A-16,Hidalgo-Fuentes 2024,457,U,Honduras+Spain,Europe,Undergraduate,Mixed,post-COVID,exclude,no,,,,,,
A-17,Kara 2024,437,M,Turkey,Europe,Undergraduate,Mixed,post-COVID,include_secondary,no,0.2100,0.4900,0.1800,0.3100,-0.2000,r
A-18,Bhagat 2019,208,U,Taiwan,Asia,Mixed_UG_Grad,Mixed,pre-COVID,exclude_from_primary,no,,,,,,
A-19,MacLean 2022,465,U,Canada,North_America,Undergraduate,Mixed,COVID,exclude_from_primary,no,,,,,,
A-20,Mustafa 2022,718,U,China,Asia,Mixed_UG_Grad,Mixed,COVID,exclude_from_primary,no,,,,,,
A-21,Nakayama 2014,53,U,Japan,Asia,Undergraduate,Mixed,pre-COVID,exclude_from_primary,no,,,,,,
A-22,Quigley 2022,301,M,UK,Europe,Undergraduate,Psychology,COVID,include_with_caveat,partial,0.0000,0.2600,0.1400,0.1500,-0.0200,r
A-23,Rodrigues 2024,260,M,Germany,Europe,Undergraduate,Mixed,COVID,include,yes,0.0000,0.2280,-0.0250,0.0000,-0.1420,r
A-24,Tlili 2023,65,A,Tunisia,Other,Undergraduate,Mixed,COVID,exclude,no,,,,,,
A-25,Tokiwa 2025,103,A,Japan,Asia,K-12,Mixed,post-COVID,include_COI,yes,,,,,,
A-26,Wang 2023,1625,M,China,Asia,K-12,Mixed,post-COVID,include_with_caveat,partial,,,,,,
A-27,Wu_Yu 2024,1004,U,China,,Undergraduate,Mixed,,PDF_unavailable,unknown,,,,,,
A-28,Yu 2021,1152,A,China,Asia,Mixed_UG_Grad,Humanities,COVID,include,yes,0.3550,0.1070,-0.1260,0.4920,0.0870,beta_converted
A-29,Bahcekapili 2020,525,S,Turkey,Europe,Undergraduate,Mixed,pre-COVID,include,yes,0.0700,0.0680,0.0270,-0.0130,-0.0720,r
A-30,Kaspar 2023,413,M,Germany,Europe,Mixed_UG_Grad,Mixed,COVID,include_with_caveat,yes,0.1300,0.2000,0.1000,-0.0600,0.2500,beta_converted
A-31,Rivers 2021,149,A,Japan,Asia,Undergraduate,Mixed,COVID,include,yes,-0.0660,0.1440,-0.1730,0.1180,0.1070,r
A-37,Zheng 2023,282,M,US,North_America,Graduate,Mixed,mixed,include_with_caveat,yes,0.0000,0.0000,0.0000,0.0000,0.0000,r
