cell_index,cluster,gender,p_baseline,weight
0,0,0,0.4,0.02824858757062147
1,0,1,0.38461538461538464,0.03672316384180791
2,1,0,0.2,0.02824858757062147
3,1,1,0.0625,0.0903954802259887
4,2,0,0.2,0.0423728813559322
5,2,1,0.14705882352941177,0.096045197740113
6,3,0,0.07142857142857142,0.07909604519774012
7,3,1,0.09523809523809523,0.059322033898305086
8,4,0,0.23076923076923078,0.03672316384180791
9,4,1,0.23684210526315788,0.10734463276836158
10,5,0,0.07142857142857142,0.03954802259887006
11,5,1,0.0,0.03389830508474576
12,6,0,0.2727272727272727,0.12429378531073447
13,6,1,0.15714285714285714,0.1977401129943503
