scenario,P_point,P_lo95,P_hi95,B
baseline,0.17231638418079095,0.1327683615819209,0.21468926553672316,2000
C(0.20),0.1378531073446328,0.10621468926553673,0.16949152542372883,2000
D(0.5),0.2153954802259887,0.16949152542372878,0.2683615819209039,2000
E(0.5),0.20677966101694914,0.1593220338983051,0.2576271186440678,2000
C+D(0.5),0.17231638418079098,0.1327683615819209,0.21186440677966104,2000
C+E(0.5),0.16542372881355935,0.13016949152542373,0.2061016949152542,2000
C+D+E (all 0.5),0.20677966101694917,0.1593220338983051,0.2542372881355932,2000
"D+E (no inst, all 0.5)",0.2584745762711864,0.20338983050847456,0.3177966101694915,2000
"D+E (no inst, all 1.0)",0.36186440677966103,0.2788135593220339,0.4389830508474576,2000
C+D+E (all 1.0),0.2894915254237288,0.22305084745762713,0.3585338983050847,2000
