scenario,s,e,effect_C,P
D_only,0.0,0.0,0.0,0.17231638418079095
D_only,0.1,0.0,0.0,0.18093220338983051
D_only,0.2,0.0,0.0,0.18954802259887008
D_only,0.30000000000000004,0.0,0.0,0.19816384180790958
D_only,0.4,0.0,0.0,0.20677966101694914
D_only,0.5,0.0,0.0,0.2153954802259887
D_only,0.6000000000000001,0.0,0.0,0.22401129943502826
D_only,0.7000000000000001,0.0,0.0,0.2326271186440678
D_only,0.8,0.0,0.0,0.24124293785310733
D_only,0.9,0.0,0.0,0.24985875706214689
D_only,1.0,0.0,0.0,0.2584745762711865
E_only,0.0,0.0,0.0,0.17231638418079095
E_only,0.0,0.1,0.0,0.17920903954802261
E_only,0.0,0.2,0.0,0.18610169491525425
E_only,0.0,0.30000000000000004,0.0,0.1929943502824859
E_only,0.0,0.4,0.0,0.19988700564971754
E_only,0.0,0.5,0.0,0.20677966101694914
E_only,0.0,0.6000000000000001,0.0,0.21367231638418077
E_only,0.0,0.7000000000000001,0.0,0.22056497175141243
E_only,0.0,0.8,0.0,0.2274576271186441
E_only,0.0,0.9,0.0,0.23435028248587572
E_only,0.0,1.0,0.0,0.24124293785310733
C_only,0.0,0.0,0.0,0.17231638418079095
C_only,0.0,0.0,0.049999999999999996,0.1637005649717514
C_only,0.0,0.0,0.09999999999999999,0.1550847457627119
C_only,0.0,0.0,0.15,0.14646892655367233
C_only,0.0,0.0,0.19999999999999998,0.1378531073446328
C_only,0.0,0.0,0.24999999999999997,0.12923728813559324
C_only,0.0,0.0,0.3,0.12062146892655366
D+E (no inst),0.0,0.0,0.0,0.17231638418079095
D+E + Institution,0.0,0.0,0.2,0.1378531073446328
D+E (no inst),0.1,0.1,0.0,0.18816949152542373
D+E + Institution,0.1,0.1,0.2,0.150535593220339
D+E (no inst),0.2,0.2,0.0,0.2047118644067797
D+E + Institution,0.2,0.2,0.2,0.16376949152542375
D+E (no inst),0.30000000000000004,0.30000000000000004,0.0,0.22194350282485875
D+E + Institution,0.30000000000000004,0.30000000000000004,0.2,0.177554802259887
D+E (no inst),0.4,0.4,0.0,0.23986440677966103
D+E + Institution,0.4,0.4,0.2,0.19189152542372884
D+E (no inst),0.5,0.5,0.0,0.2584745762711864
D+E + Institution,0.5,0.5,0.2,0.20677966101694917
D+E (no inst),0.6000000000000001,0.6000000000000001,0.0,0.277774011299435
D+E + Institution,0.6000000000000001,0.6000000000000001,0.2,0.22221920903954806
D+E (no inst),0.7000000000000001,0.7000000000000001,0.0,0.29776271186440684
D+E + Institution,0.7000000000000001,0.7000000000000001,0.2,0.23821016949152546
D+E (no inst),0.8,0.8,0.0,0.3184406779661017
D+E + Institution,0.8,0.8,0.2,0.25475254237288136
D+E (no inst),0.9,0.9,0.0,0.33980790960451973
D+E + Institution,0.9,0.9,0.2,0.27184632768361583
D+E (no inst),1.0,1.0,0.0,0.36186440677966103
D+E + Institution,1.0,1.0,0.2,0.2894915254237288
