link,gamma_D,gamma_D_label,gamma_E,gamma_E_label,frontier_s,frontier_e,frontier_sum,p_baseline
identity,0.19,low (.19),0.15,low (.15),0.9750000000000001,0.2,1.175,0.17231638418079095
identity,0.19,low (.19),0.22,main (.22),0.15000000000000002,0.8500000000000001,1.0,0.17231638418079095
identity,0.19,low (.19),0.27,high (.27),0.0,0.8250000000000001,0.8250000000000001,0.17231638418079095
identity,0.3,main (.30),0.15,low (.15),0.75,0.0,0.75,0.17231638418079095
identity,0.3,main (.30),0.22,main (.22),0.65,0.1,0.75,0.17231638418079095
identity,0.3,main (.30),0.27,high (.27),0.25,0.5,0.75,0.17231638418079095
identity,0.43,high (.43),0.15,low (.15),0.525,0.0,0.525,0.17231638418079095
identity,0.43,high (.43),0.22,main (.22),0.5,0.025,0.525,0.17231638418079095
identity,0.43,high (.43),0.27,high (.27),0.5,0.025,0.525,0.17231638418079095
log_linear,0.19,low (.19),0.15,low (.15),1.0,0.05,1.05,0.17231638418079095
log_linear,0.19,low (.19),0.22,main (.22),0.0,0.9,0.9,0.17231638418079095
log_linear,0.19,low (.19),0.27,high (.27),0.0,0.75,0.75,0.17231638418079095
log_linear,0.3,main (.30),0.15,low (.15),0.65,0.025,0.675,0.17231638418079095
log_linear,0.3,main (.30),0.22,main (.22),0.625,0.05,0.675,0.17231638418079095
log_linear,0.3,main (.30),0.27,high (.27),0.5,0.17500000000000002,0.675,0.17231638418079095
log_linear,0.43,high (.43),0.15,low (.15),0.45,0.025,0.47500000000000003,0.17231638418079095
log_linear,0.43,high (.43),0.22,main (.22),0.45,0.025,0.47500000000000003,0.17231638418079095
log_linear,0.43,high (.43),0.27,high (.27),0.45,0.025,0.47500000000000003,0.17231638418079095
logit,0.19,low (.19),0.15,low (.15),1.0,0.4,1.4,0.17231638418079095
logit,0.19,low (.19),0.22,main (.22),0.15000000000000002,1.0,1.15,0.17231638418079095
logit,0.19,low (.19),0.27,high (.27),0.0,0.925,0.925,0.17231638418079095
logit,0.3,main (.30),0.15,low (.15),0.8250000000000001,0.0,0.8250000000000001,0.17231638418079095
logit,0.3,main (.30),0.22,main (.22),0.8250000000000001,0.0,0.8250000000000001,0.17231638418079095
logit,0.3,main (.30),0.27,high (.27),0.8250000000000001,0.0,0.8250000000000001,0.17231638418079095
logit,0.43,high (.43),0.15,low (.15),0.5750000000000001,0.0,0.5750000000000001,0.17231638418079095
logit,0.43,high (.43),0.22,main (.22),0.5750000000000001,0.0,0.5750000000000001,0.17231638418079095
logit,0.43,high (.43),0.27,high (.27),0.5750000000000001,0.0,0.5750000000000001,0.17231638418079095
