s,kappa,uptake_effective,P
0.0,0.0,0.4,0.15136271186440678
0.0,0.15,0.4,0.15136271186440678
0.0,0.3,0.4,0.15136271186440678
0.0,0.5,0.4,0.15136271186440678
0.25,0.0,0.4,0.1627149152542373
0.25,0.15,0.385,0.16339289406779664
0.25,0.3,0.37000000000000005,0.16407087288135594
0.25,0.5,0.35000000000000003,0.16497484463276832
0.5,0.0,0.4,0.1740671186440678
0.5,0.15,0.37000000000000005,0.17551767796610168
0.5,0.3,0.34,0.1769682372881356
0.5,0.5,0.30000000000000004,0.1789023163841808
0.75,0.0,0.4,0.18541932203389835
0.75,0.15,0.355,0.18773706355932207
0.75,0.3,0.31000000000000005,0.19005480508474581
0.75,0.5,0.25,0.1931451271186441
1.0,0.0,0.4,0.19677152542372883
1.0,0.15,0.34,0.20005105084745767
1.0,0.3,0.27999999999999997,0.20333057627118648
1.0,0.5,0.2,0.2077032768361582
