T,ability_deficit,uptake,P
0.1,0.0,0.0,0.15853107344632772
0.1,0.0,0.2,0.15536045197740112
0.1,0.0,0.4,0.15218983050847457
0.1,0.5,0.0,0.17596949152542374
0.1,0.5,0.2,0.17245010169491526
0.1,0.5,0.4,0.1689307118644068
0.1,1.0,0.0,0.19340790960451976
0.1,1.0,0.2,0.18953975141242935
0.1,1.0,0.4,0.18567159322033894
0.25,0.0,0.0,0.15853107344632772
0.25,0.0,0.2,0.1506045197740113
0.25,0.0,0.4,0.14267796610169492
0.25,0.5,0.0,0.17596949152542374
0.25,0.5,0.2,0.16717101694915254
0.25,0.5,0.4,0.1583725423728814
0.25,1.0,0.0,0.19340790960451976
0.25,1.0,0.2,0.1837375141242938
0.25,1.0,0.4,0.1740671186440678
0.4,0.0,0.0,0.15853107344632772
0.4,0.0,0.2,0.14584858757062147
0.4,0.0,0.4,0.13316610169491522
0.4,0.5,0.0,0.17596949152542374
0.4,0.5,0.2,0.16189193220338982
0.4,0.5,0.4,0.14781437288135593
0.4,1.0,0.0,0.19340790960451976
0.4,1.0,0.2,0.17793527683615817
0.4,1.0,0.4,0.16246264406779662
