ID,TestsMastered,TestsCompleted,Conscientiousness,AcceptedUniversityHensachi
TKYHS001,2,10,2.08,45.0
TKYHS003,27,31,3.25,44.9
TKYHS004,44,50,2.83,63.5
TKYHS005,82,85,3.92,65.4
TKYHS006,23,37,3.42,35.0
TKYHS008,13,21,2.5,40.0
TKYHS010,25,28,1.33,45.8
TKYHS011,0,7,2.75,42.5
TKYHS012,30,39,2.25,47.5
TKYHS013,24,31,2.83,42.5
TKYHS014,5,10,2.67,50.0
TKYHS015,259,261,3.42,67.9
TKYHS016,43,48,3.75,52.0
TKYHS017,88,92,2.67,64.7
TKYHS018,28,36,2.58,58.6
TKYHS020,186,187,2.92,49.2
TKYHS022,76,85,1.5,50.0
TKYHS023,7,15,2.58,40.0
TKYHS024,38,42,2.33,59.7
TKYHS025,249,257,3.08,62.4
TKYHS026,37,70,1.42,47.5
TKYHS028,55,60,1.5,47.5
TKYHS029,1,1,1.67,50.0
TKYHS030,35,51,2.92,50.0
TKYHS031,101,109,2.92,47.6
TKYHS032,8,15,2.92,42.5
TKYHS033,120,124,3.42,64.4
TKYHS034,37,39,1.75,52.5
TKYHS035,91,102,3.0,62.5
TKYHS036,47,78,3.08,57.5
TKYHS037,25,32,1.83,70.5
TKYHS038,66,83,2.42,47.5
TKYHS039,76,80,2.33,49.9
TKYHS040,82,100,3.5,47.5
TKYHS041,28,32,4.5,59.2
TKYHS042,20,28,2.08,64.8
TKYHS043,211,215,3.75,60.0
TKYHS044,0,1,1.67,39.6
TKYHS045,35,40,3.5,45.0
TKYHS046,17,25,2.92,54.4
TKYHS048,36,45,2.0,53.0
TKYHS049,114,120,2.42,62.5
TKYHS051,18,31,1.75,45.0
TKYHS052,61,72,2.25,55.6
TKYHS053,50,55,3.08,52.5
TKYHS054,20,26,2.33,47.5
TKYHS055,156,169,2.5,68.9
TKYHS056,18,27,3.17,57.5
TKYHS057,53,60,2.75,55.0
TKYHS058,73,84,2.42,52.5
TKYHS060,88,93,1.83,50.0
TKYHS061,616,623,2.17,70.3
TKYHS062,131,133,4.5,45.0
TKYHS063,129,140,2.67,50.1
TKYHS064,16,40,2.17,45.0
TKYHS065,70,83,3.92,47.5
TKYHS067,51,58,3.25,50.0
TKYHS068,4,16,2.67,61.3
TKYHS069,11,11,2.33,40.0
TKYHS071,11,16,2.83,52.5
TKYHS072,2,15,1.0,37.2
TKYHS073,80,84,2.25,50.7
TKYHS075,21,26,2.17,47.5
TKYHS076,22,22,2.67,50.0
TKYHS077,5,9,3.08,47.5
TKYHS078,25,29,2.92,62.5
TKYHS079,28,37,1.17,47.5
TKYHS080,24,48,2.83,47.5
TKYHS081,18,21,2.5,57.8
TKYHS082,24,30,2.75,45.0
TKYHS084,46,53,3.17,40.0
TKYHS086,21,38,3.17,40.0
TKYHS087,127,130,3.0,47.5
TKYHS088,51,64,3.42,60.3
TKYHS089,20,22,2.58,47.5
TKYHS090,35,39,2.17,56.2
TKYHS091,57,60,3.58,47.5
TKYHS093,23,29,3.42,55.0
TKYHS094,31,38,3.33,55.0
TKYHS097,9,9,3.75,45.0
TKYHS099,33,33,1.83,47.5
TKYHS100,201,201,3.67,50.0
TKYHS101,146,146,3.67,55.3
TKYHS103,105,107,3.42,47.5
TKYHS104,242,243,3.25,47.5
TKYHS106,176,180,3.5,60.0
TKYHS107,69,72,2.5,47.5
TKYHS108,245,245,3.0,55.0
TKYHS109,89,89,3.42,63.1
TKYHS110,152,164,2.83,64.9
TKYHS111,194,196,2.92,66.6
TKYHS112,221,221,3.5,62.5
TKYHS113,100,101,3.08,55.1
TKYHS114,98,99,2.92,56.1
TKYHS115,104,109,3.83,42.5
TKYHS116,97,101,3.58,42.5
TKYHS117,87,91,2.0,41.1
TKYHS119,99,99,2.75,45.0
TKYHS120,145,157,3.0,63.9
TKYHS122,77,77,2.58,42.5
TKYHS123,325,325,2.58,57.5
TKYHS124,356,358,3.0,72.6
TKYHS125,157,159,3.0,52.5
