type,gender_label,n,power_harassment_bin_rate,power_harassment_bin_ci_halfwidth,gender_harassment_bin_rate,gender_harassment_bin_ci_halfwidth
0,G0,10,0.4,0.3036363148515984,0.4,0.3036363148515984
0,G1,13,0.38461538461538464,0.26446186618366346,0.15384615384615385,0.1961301691885781
1,G0,10,0.2,0.24791801292182467,0.0,0.0
1,G1,32,0.0625,0.08386847548674174,0.15625,0.1258027132301126
2,G0,15,0.2,0.2024242099010656,0.4,0.2479180129218246
2,G1,34,0.14705882352941177,0.11904570096476713,0.29411764705882354,0.15315646586745435
3,G0,28,0.07142857142857142,0.09539216725602621,0.25,0.1603872021168224
3,G1,21,0.09523809523809523,0.12554833201599436,0.09523809523809523,0.12554833201599436
4,G0,13,0.23076923076923078,0.22903069444729335,0.07692307692307693,0.14485172970870516
4,G1,38,0.23684210526315788,0.13517393288204033,0.2631578947368421,0.1400076324769986
5,G0,14,0.07142857142857142,0.13490489667763494,0.42857142857142855,0.2592248645310686
5,G1,12,0.0,0.0,0.16666666666666666,0.2108585519802767
6,G0,44,0.2727272727272727,0.1315935758851795,0.4772727272727273,0.14758514342082993
6,G1,70,0.15714285714285714,0.08525569113345349,0.3142857142857143,0.10875093263435746
