type,gender_label,n,power_harassment_mean,power_harassment_sd,power_harassment_se,power_harassment_ci95,gender_harassment_mean,gender_harassment_sd,gender_harassment_se,gender_harassment_ci95,mde_d_one_sample,mde_p_diff_p10
0,G0,10,1.52,0.4756282395129858,0.15040685563571302,0.3402439458102838,2.15,1.1128042655082397,0.3518996068956788,0.7960522163249323,0.8859390348296595,0.2657817104488979
0,G1,13,1.4384615384615385,0.5075077364573889,0.14075732049936776,0.30668385577360446,1.4769230769230772,0.5847418891468927,0.1621782203254463,0.35335598713768085,0.7770199351144824,0.23310598053434473
1,G0,10,1.31,0.33813212407775356,0.10692676621563625,0.24188515008955064,1.3000000000000003,0.2538591035287969,0.08027729719194862,0.1815998628528468,0.8859390348296595,0.2657817104488979
1,G1,32,1.128125,0.18705592574104332,0.033067128388154746,0.06744085298135799,1.425,0.5406089756155821,0.09556706815702275,0.1949103205389299,0.49525497644991817,0.14857649293497546
2,G0,15,1.2333333333333334,0.23502786055720126,0.06068393265551997,0.13015409093005972,1.9733333333333334,0.8932018382255624,0.23062372294996364,0.4946386909011257,0.7233661928488266,0.217009857854648
2,G1,34,1.2529411764705882,0.3037495919614639,0.05209262525900543,0.10598324297374236,1.7323529411764707,0.6821181752387832,0.11698230195344121,0.23800228285511377,0.48046790106254106,0.14414037031876234
3,G0,28,1.1642857142857144,0.19853964193074744,0.037520465566897816,0.07698563624270868,1.5964285714285715,0.6298042863885885,0.11902182260190763,0.24421260774169695,0.5294498402772545,0.15883495208317636
3,G1,21,1.1857142857142857,0.28157719063467185,0.06144518047887593,0.1281724004895892,1.3666666666666667,0.436272086355904,0.09520237425344005,0.19858867278560074,0.6113560156129545,0.18340680468388634
4,G0,13,1.2538461538461538,0.2726884199209317,0.07563016001924425,0.16478396295971484,1.3923076923076925,0.46808392848138264,0.12982312348924954,0.2828602870458498,0.7770199351144824,0.23310598053434473
4,G1,38,1.3526315789473684,0.3168568967686706,0.05140097608889707,0.10414827034366271,1.6631578947368417,0.696873734203317,0.11304784751116337,0.22905669658878328,0.4544771355012231,0.13634314065036693
5,G0,14,1.1785714285714286,0.20821058655036812,0.05564661994076571,0.12021721355812759,1.9571428571428569,0.7713268146156044,0.20614576239452076,0.44535084373974865,0.7487551447163623,0.22462654341490867
5,G1,12,1.1249999999999998,0.1215431087010994,0.035086473263361846,0.07722480697261148,1.4166666666666667,0.5424411712272809,0.15658927811380324,0.34465067735794336,0.8087479899175994,0.2426243969752798
6,G0,44,1.3522727272727275,0.32883772513423515,0.049574152326558145,0.09997580628030169,2.1159090909090907,0.7814545715249824,0.1178087092934688,0.23758390503323698,0.4223548630312141,0.12670645890936424
6,G1,70,1.2628571428571425,0.35434014141472225,0.042351747445447084,0.08448942438807432,1.7185714285714286,0.6490333631010192,0.07757432439908557,0.15475654278999726,0.3348534804176957,0.10045604412530872
