type,gender_label,role,n,power_harassment_mean,power_harassment_sd,power_harassment_se,power_harassment_ci95,gender_harassment_mean,gender_harassment_sd,gender_harassment_se,gender_harassment_ci95,mde_d_one_sample,mde_p_diff_p10
0,G0,0,7,1.4142857142857144,0.4140393356054126,0.15649215928719035,0.38292251917109377,1.8285714285714287,1.0061714328984661,0.38029705539240777,0.9305533717952209,1.058899680554509,0.3176699041663527
0,G0,1,3,1.7666666666666666,0.6110100926607785,0.3527668414752787,1.5178332134387036,2.9,1.1532562594670794,0.6658328118479393,2.864847365454296,1.6174959798351989,0.4852487939505596
0,G1,0,7,1.4714285714285713,0.5407226205560041,0.2043739403226184,0.5000850166406116,1.5,0.6244997998398398,0.23603873774083295,0.5775659847073457,1.058899680554509,0.3176699041663527
0,G1,1,6,1.4000000000000001,0.5138093031466051,0.20976176963403032,0.5392097948321674,1.45,0.592452529743945,0.24186773244895654,0.6217407996598318,1.1437423758834482,0.3431227127650345
1,G0,0,9,1.3222222222222222,0.35629263877386586,0.11876421292462196,0.27387076611844624,1.3333333333333335,0.24494897427831783,0.08164965809277261,0.18828444919993992,0.9338617393709895,0.28015852181129686
1,G0,1,1,1.2,,,,1.0,,,,,
1,G1,0,32,1.128125,0.18705592574104332,0.033067128388154746,0.06744085298135799,1.425,0.5406089756155821,0.09556706815702275,0.1949103205389299,0.49525497644991817,0.14857649293497546
2,G0,0,14,1.2142857142857142,0.2315736894087358,0.06189067182562077,0.13370666753949587,1.8785714285714288,0.845056731303218,0.22585091149455197,0.487921230226382,0.7487551447163623,0.22462654341490867
2,G0,1,1,1.5,,,,3.3,,,,,
2,G1,0,28,1.2892857142857144,0.3224205738705681,0.06093176114516094,0.12502164694052892,1.7392857142857143,0.7258911691279827,0.1371805366007549,0.28147121126456953,0.5294498402772545,0.15883495208317636
2,G1,1,6,1.0833333333333335,0.0752772652709081,0.03073181485764296,0.07899864504919521,1.7,0.4732863826479693,0.1932183566158592,0.4966835978282274,1.1437423758834482,0.3431227127650345
3,G0,0,14,1.15,0.2377781771703651,0.06354889093022426,0.13728903211862903,1.3642857142857143,0.5415180128506883,0.14472677663242314,0.31266319198757847,0.7487551447163623,0.22462654341490867
3,G0,1,14,1.1785714285714284,0.15776599725577717,0.042164736358131144,0.09109137483612359,1.8285714285714287,0.6438210112333198,0.17206840303152998,0.3717311846769245,0.7487551447163623,0.22462654341490867
3,G1,0,16,1.2375,0.3052321520853704,0.0763080380213426,0.1626467329631488,1.4625,0.455887413001646,0.1139718532504115,0.24292525481719504,0.7003963045282421,0.21011889135847267
3,G1,1,5,1.02,0.044721359549995836,0.020000000000000018,0.05552890210395592,1.06,0.1341640786499874,0.06,0.1665867063118676,1.2529069984918344,0.37587209954755035
4,G0,0,9,1.2666666666666666,0.26925824035672524,0.08975274678557509,0.20697020523346854,1.322222222222222,0.380058475033046,0.12668615834434868,0.2921388050151978,0.9338617393709895,0.28015852181129686
4,G0,1,4,1.225,0.3201562118716424,0.1600781059358212,0.5094399767922682,1.55,0.6658328118479393,0.33291640592396965,1.0594885860010683,1.4007926090564842,0.42023778271694534
4,G1,0,27,1.3296296296296295,0.26284656948173984,0.050584845881950724,0.10397863985956245,1.6185185185185187,0.7011183577449328,0.1349302908592751,0.2773531850258854,0.5391653266117329,0.16174959798351987
4,G1,1,11,1.4090909090909092,0.43232984041017913,0.13035235148316307,0.29044313878740624,1.7727272727272727,0.7072353343702634,0.21323947659888237,0.4751271625871877,0.8447097260624282,0.2534129178187285
5,G0,0,14,1.1785714285714286,0.20821058655036812,0.05564661994076571,0.12021721355812759,1.9571428571428569,0.7713268146156044,0.20614576239452076,0.44535084373974865,0.7487551447163623,0.22462654341490867
5,G1,0,12,1.1249999999999998,0.1215431087010994,0.035086473263361846,0.07722480697261148,1.4166666666666667,0.5424411712272809,0.15658927811380324,0.34465067735794336,0.8087479899175994,0.2426243969752798
6,G0,0,44,1.3522727272727275,0.32883772513423515,0.049574152326558145,0.09997580628030169,2.1159090909090907,0.7814545715249824,0.1178087092934688,0.23758390503323698,0.4223548630312141,0.12670645890936424
6,G1,0,67,1.2671641791044777,0.3611379572295987,0.04412002357071119,0.08808846922461928,1.698507462686567,0.65631952152698,0.08018219126514725,0.16008891011362184,0.3422681094136995,0.10268043282410987
6,G1,1,3,1.1666666666666667,0.11547005383792512,0.06666666666666665,0.2868435153166307,2.166666666666667,0.05773502691896263,0.03333333333333337,0.14342175765831555,1.6174959798351989,0.4852487939505596
